,Number,Name_of_Covered_Entity,Region,Individuals_Affected,Date_of_Breach,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,Summary,breach_start,year
16,17,Carle Clinic Association,Boon Lay,1300,1/13/2010,Theft,"Other, Paper",2014-01-23,,2010-01-13,2010
17,18,Educators Mutual Insurance Association of Utah ,Farrer Park,5700,12/27/2009,Theft,Other,2014-01-23,,2009-12-27,2009
18,19,University Medical Center of Southern Nevada,Hougang,5103,10/31/2009,Theft,Paper,2014-01-23,"Between the dates of July 31, 2009 and November 19, 2009, a former UMC volunteer faxed patient face sheets to an attorney who used the sheets to contact prospective clients.  Although UMC only had proof of two disclosures, it chose to notify all 5,301 individuals that could have been affected by the breach.  The protected health information involved in the breach included names, addresses, dates of birth, social security numbers, and diagnoses.  Following the breach, UMC conducted an internal investigation, notified all 5,301 individuals, notified the media, and notified the Secretary.  Additionally, UMC reformulated face sheets so that they no longer include full social security numbers and provided all possible affected individuals with a year of free credit monitoring.  As a result of this breach, at least one person has been indicted on one count of conspiracy to illegally disclose personal health information in violation of the HIPAA",2009-10-31,2009
19,20,Brown University,Pasir Ris,528,2009-11-12 00:00:00,Other,Paper,2014-01-23,"On January 5, 2010, BCBSRI was notified that a 16 page report pertaining to Brown University's health plan was impermissibly disclosed to two other BCBSRI agents.  The reports contained the PHI of approximately 528 individuals.  The PHI involved: first and last names, dates of service, cost of medical care provided, and member identification numbers.  Following the breach, BCBSRI recovered the reports, received written assurances that any electronic copies of the reports were deleted, notified affected individuals of the breach, implemented new procedure for all outgoing correspondence, and is in the process of auditing all affected members' claim history to ensure no fraud.",2009-12-11,2009
20,21,University of New Mexico Health Sciences Center,Choa Chu Kang,1900,2010-08-02 00:00:00,Other,Desktop Computer,2014-01-23,,2010-02-08,2010
21,22,Advanced NeuroSpinal Care,Yio Chu Kang,3500,12/30/2009,Theft,Network Server,2014-04-22,"A computer containing the electronic protected health information (ePHI) of 3,500 individuals was stolen from the office of a covered entity (CE).  The ePHI included patient names, addresses, dates of birth, social security numbers, driver's licenses, claims information, diagnoses, and conditions. As a result of the loss, the CE upgraded the alarm system and replaced the server housing and storage security lock-up.  The CE also notified affected individuals, the media, appropriate government agencies, and law enforcement.  In addition, the CE established an office-based hotline to assist affected individuals.  As a result of OCR's investigation, the CE has implemented regularly scheduled security risk analyses and has installed window bars, roll down shutters, four video surveillance cameras, and other physical security measures to prevent theft.",2009-12-30,2009
22,23,Aspen Dental Care P.C.,Redhill,2500,2009-04-10 00:00:00,Theft,Other,2014-06-30,"A computer hard drive containing encrypted patient records was stolen from the covered entity's (CE) safe.  The hard drive contained clinical and demographic information of approximately 2,500 patients.  Following the breach, the CE provided additional training to its staff.  OCR obtained assurances that the CE implemented the corrective action listed above.",2009-10-04,2009
23,24,Thrivent Financial for Lutherans,Simei,9500,1/29/2010,Theft,Laptop,2014-01-23,"On January 29, 2010, there was a break-in at one of the Thrivent's offices and five laptop computers were stolen",2010-01-29,2010
24,25,Montefiore Medical Center,Sengkang,625,2/20/2010,Theft,Laptop,2014-06-03,"An unencrypted laptop computer containing the electronic protected health information (ePHI) of 625 individuals was stolen from the covered entity's (CE) mobile dental van.  The ePHI included names, dates of birth, medical record numbers and dental x-rays.  Upon discovery of the breach, the CE filed a police report and provided breach notification to HHS, the media and affected individuals.  As a result of OCR's investigation, the CE revised its procedures so that all ePHI is stored in a data center, rather than the mobile dental van laptop.  In addition, the CE encrypted all mobile dental van laptops and improved physical security for the van.  The CE developed a new policy on ePHI security and retrained all staff.  OCR obtained assurances that the CE implemented the corrective action listed above.",2010-02-20,2010
25,26,"Ernest T. Bice, Jr. DDS, P.A.",Yishun,21000,2/20/2010,Theft,"Other Portable Electronic Device, Other",2014-01-23,"Three unencrypted external back-up drives were stolen from a safe in the covered entity's locked office.  The laptop computer contained the protected health information of approximately 21,000 individuals.  The protected health information involved in the breach included names, addresses phone numbers, dates of birth, social security numbers, insurance information, and treatment histories.  Following the breach, the covered entity moved back-up data offsite and encrypted all workstations.  Additionally, OCR's investigation resulted in the covered entity improving their physical safeguards and in retraining employees.",2010-02-20,2010
26,27,Griffin Hospital,Admiralty,957,2010-04-02 00:00:00,Hacking/IT Incident,Network Server,2014-01-23,,2010-02-04,2010
27,28,"Hypertension, Nephrology, Dialysis and Transplantation, PC",Clementi,2465,2010-06-03 00:00:00,Theft,Laptop,2014-01-23,,2010-03-06,2010
28,29,Reliant Rehabilitation Hospital North Houston,Yishun,768,2010-09-02 00:00:00,Unauthorized Access/Disclosure ,E-mail,2014-01-23,,2010-02-09,2010
29,30,"Laboratory Corporation of America / US LABS / Dianon Systems, Inc",Toa Payoh,2773,2/18/2010,Theft,Other Portable Electronic Device,2014-01-23,,2010-02-18,2010
30,31,University of Pittsburgh Student Health Center,Serangoon,8000,2010-11-03 00:00:00,"Theft, Loss",Paper,2014-01-23,,2010-03-11,2010
31,32,Providence Hospital,Newton,83945,2010-04-02 00:00:00,Other,Other,2014-01-23,,2010-02-04,2010
32,33,VHS Genesis Lab Inc. ,Boon Lay,6800,2010-10-01 00:00:00,Loss,Paper,2014-01-23,,2010-01-10,2010
33,34,John Muir Physician Network,Yio Chu Kang,5450,2010-04-02 00:00:00,Theft,Laptop,2014-01-23,,2010-02-04,2010
34,35,Beatrice Community Hospital and Health Center,Bukit Batok,660,3/19/2010,Other,Paper,2014-01-23,,2010-03-19,2010
35,36,Pediatric Sports and Spine Associates,Yishun,955,2010-10-02 00:00:00,Theft,Laptop,2014-01-23,"An unencrypted laptop was stolen from an employee's vehicle.  The laptop contained the protected health information of approximately 955 individuals.  The protected health information involved in the breach included names, addresses, dates of birth, social security numbers, diagnoses, medications and other treatment information.  Following the discovery of the breach, the covered entity revised policies, retrained staff and implemented additional physical and technical safeguards including encryption software.  The covered entity also removed the stolen laptop's access to the server, sanctioned the involved employee, notified the affected individuals and notified the local media.  ",2010-02-10,2010
36,37,Tomah Memorial Hospital,Simei,600,3/19/2010,Other,Other,2014-01-23,,2010-03-19,2010
37,38,"Praxair Healthcare Services, Inc. (Home Care Supply in NY)",Admiralty,54165,2/18/2010,Theft,Laptop,2014-01-23,"A laptop computer was stolen from the covered entity's office by a former employee after it had been damaged. The laptop computer contained the PHI of approximately 54,165 individuals.  The computer contained a limited amount of PHI, including client names and one or more of the following: addresses, phone numbers, social security numbers, insurance provider names and policy numbers, medical diagnostic codes or medical equipment.  Following the breach, the covered entity notified all affected individuals, the media, and HHS of the breach. Additionally, the covered entity completed its laptop encryption project to cover all PHI stored on computers in the office.  Additionally, OCR's investigation resulted in the covered entity reinforcing the requirements of HIPAA to its employees.",2010-02-18,2010
38,39,Blue Cross & Blue Shield of Rhode Island,Pasir Ris,12000,12/20/2009,Theft,Paper,2014-06-30,"A covered entity (CE) donated a file cabinet containing the protected health information (PHI) of 12,000 individuals before cleaning it out.  The PHI included members' names, addresses, telephone numbers, social security numbers, and Medicare identification numbers.  The covered entity (CE) provided breach notification to HHS, the affected individuals, and media, and offered all affected individuals free credit monitoring for a period of one year.  Following the breach, the CE sanctioned the employees involved in the incident and held a mandatory training regarding the HIPAA Privacy and Security Rule for all departments involved in the breach. The CE also revised the policy for office moves.  OCR obtained assurances that the CE implemented the corrective action listed above.",2009-12-20,2009
39,40,St. Joseph Heritage Healthcare,Yio Chu Kang,22012,2010-06-03 00:00:00,Theft,Desktop Computer,2014-01-23,"22 computers were stolen from Clinical Management Service office.Five of the stolen computers contained the protected health information of approximately 22,012 individuals. The protected health information involved in the breach included name, date of birth, social security number, referral number, encounter number, facility, member ID, diagnosis, procedure, and/or diagnosis code. As a result of this incident, St. Joseph notified the potentially affected individuals, notified the local media, installed security cameras, re-trained employees, and installed encryption software on all laptops and Computers enterprise-wide. OCR's investigation resulted in the covered entity improving their physical and technological safeguards and retraining employees.",2010-03-06,2010
40,41,GENERAL AGENCIES WELFARE BENEFITS PROGRAM,Bishan,1874,2010-05-02 00:00:00,Loss,Other,2014-01-23,,2010-02-05,2010
41,42,UnitedHealth Group health plan single affiliated covered entity,Chai Chee,735,2010-02-03 00:00:00,Theft,"Other, Paper",2014-01-23,,2010-03-02,2010
42,43,South Texas Veterans Health Care System,Yishun,1430,9/30/2009,"Loss, Improper Disposal",Paper,2014-01-23,,2009-09-30,2009
43,44,Rockbridge Area Community Services,Marine Parade,500,2010-12-03 00:00:00,Theft,"Laptop, Desktop Computer",2014-01-23,,2010-03-12,2010
44,45,"Emergency Healthcare Physicians, Ltd.",Boon Lay,180111,2/27/2010,Theft,"Other Portable Electronic Device, Other",2014-01-23,,2010-02-27,2010
45,46,VA Eastern Colorado Health Care System,Redhill,649,1/19/2010,Theft,Paper,2014-06-19,"A covered entity's (CE's) employee placed paper records containing protected health information (PHI) in an unsecured box that was left undiscovered in a public parking garage for four days.  The box contained the PHI of 649 patients.  The PHI included treatment records, productivity reports, coding information, names, medical treatments, conditions, diagnoses, and social security numbers.  Upon discovery of the breach, the CE notified the affected individuals and provided credit protection to those whose social security numbers had been breached.  The CE provided OCR with copies of its breach prevention policies and procedures. Following OCR's investigation, the employee who left the records resigned from her position and the CE improved its breach response procedures. ",2010-01-19,2010
46,47,Miami VA Healthcare System,Sembawang,568,1/19/2010,Loss,Paper,2014-01-23,,2010-01-19,2010
47,48,"Heriberto Rodriguez-Ayala, M.D.",Yishun,4200,2010-03-04 00:00:00,Theft,Laptop,2014-01-23,,2010-04-03,2010
48,49,Loma Linda University Health Care,Yio Chu Kang,584,2010-04-04 00:00:00,Theft,Desktop Computer,2014-01-23,,2010-04-04,2010
49,50,Veterans Health Administration,Tampines,656,4/22/2010,Theft,Laptop,2014-01-23,,2010-04-22,2010
50,51,"State of New Mexico Human Services Department, Medical Assistance Division",Choa Chu Kang,9600,3/20/2010,Theft,Laptop,2014-01-23,,2010-03-20,2010
51,52,Oconee Physician Practices,Little India,653,2010-09-05 00:00:00,Theft,Laptop,2014-01-23,,2010-05-09,2010
52,53,University of Rochester Medical Center and Affiliates,Sengkang,2628,4/19/2010,Other,Paper,2014-01-23,,2010-04-19,2010
53,54,Omaha Construction Industry Health and Welfare Plan,Bukit Batok,800,2009-11-01 00:00:00,Theft,Laptop,2014-01-23,,2009-01-11,2009
54,55,"City of Charlotte, NC (Health Plan)",Bukit Panjang,5220,2010-03-02 00:00:00,Loss,Other,2014-01-23,,2010-02-03,2010
55,56,VA North Texas Health Care System,Yishun,4083,2010-04-05 00:00:00,Improper Disposal,Paper,2014-01-23,,2010-05-04,2010
56,57,Occupational Health Partners,Alexandra,1105,2010-12-05 00:00:00,Theft,Laptop,2014-01-23,,2010-05-12,2010
57,58,"AvMed, Inc.",Sembawang,1220000,2009-10-12 00:00:00,Theft,Laptop,2014-06-30,"Two laptop computers with questionable encryption (each containing the electronic protected health information (ePHI) of 350,000 individuals) were stolen from the covered entity's (CE) premises.  The types of ePHI involved included demographic and clinical information, diagnoses/conditions, medications, lab results, and other treatment data.  After discovering the breach, the CE reported the theft to law enforcement and worked with the local police to recover the laptops.  As a result of OCR's investigation, the CE developed and implemented new policies and procedures to comply with the Security Rule.  The CE also provided breach notification to all affected individuals, HHS, and the media and placed an accounting of disclosures in the medical records of all affected individuals.",2009-12-10,2009
58,59,St. Jude Children's Research Hospital,Bishan,1745,4/19/2010,Loss,Laptop,2014-01-23,,2010-04-19,2010
59,60,Comprehensive Care Management Corporation,Sengkang,1020,4/30/2010,Theft,"Laptop, Desktop Computer, Network Server, E-mail",2014-06-19,"OCR opened an investigation of the covered entity (CE), Comprehensive Care Management Corporation, after it reported two former employees sent emails that contained the electronic protected health information (ePHI) of 1,020 individuals to their personal email accounts to open a competitor organization.  The ePHI included names, addresses, and enrollment information.  Upon discovery of the breach, the CE conducted an internal inquiry and found that the former employees disclosed the ePHI to its competitor.  As a result of OCR's investigation, the CE replaced and strengthened external firewalls, restricted access to email websites, restricted the use of portable devices, limited the ability to upload data to external websites, and evaluated new monitor and control software for network information.  In addition, the CE provided training to all staff on its HIPAA policies and procedures.  The CE also entered into an agreement with its competitor who hired the former employees to return or destroy the ePHI.",2010-04-30,2010
60,61,alma aguado md pa,Yishun,600,5/29/2010,Theft,Network Server,2014-04-23,"OCR investigated the covered entity (CE) following a report that its main server and desktop computers containing the electronic protected health information (ePHI) of 600 individuals were taken from the CE's office.  The ePHI involved in the breach included patient names, addresses, dates of birth, and social security numbers.  As a result of OCR's investigation, the CE changed its privacy and security policies, retrained its employees and provided additional physical security to better safeguard patient ePHI.",2010-05-29,2010
61,62,University Hospital,Eunos,14000,2010-07-05 00:00:00,Loss,Other,2014-01-23,,2010-05-07,2010
62,63,University Health System,Hougang,7526,2010-11-06 00:00:00,Theft,Network Server,2014-01-23,,2010-06-11,2010
63,64,Children's Hospital & Research Center at Oakland,Yio Chu Kang,1000,5/25/2010,Other,Paper,2014-01-23,,2010-05-25,2010
64,65,Centerstone,Bishan,1537,2010-01-05 00:00:00,Other,"Desktop Computer, Paper",2014-01-23,,2010-05-01,2010
65,66,California Department of Healthcare Services,Yio Chu Kang,29000,4/29/2010,"Loss, Other","Other Portable Electronic Device, Other",2014-01-23,,2010-04-29,2010
66,67,Long Island Consultation Center,Sengkang,800,5/21/2010,Theft,"Other Portable Electronic Device, Other",2014-06-19,"The covered entity (CE), Long Island Consultation Center, misplaced an unencrypted portable device that contained the electronic protected health information (ePHI) of 800 individuals.  The ePHI included names, dates of birth, diagnoses, and other treatment information.  Upon discovery of the breach, the CE conducted a search for the portable device.  The CE provided breach notification to HHS, the media, and affected individuals.  As a result of OCR's investigation, the CE improved physical security.   The CE also developed and implemented a policy and procedure prohibiting use of portable media for storing ePHI and trained staff on its new policy. ",2010-05-21,2010
67,68,NYU Hospitals Center,Sengkang,2563,2010-08-05 00:00:00,Theft,Other Portable Electronic Device,2014-05-28,"The covered entity (CE) misplaced an unencrypted USB drive that contained the electronic protected health information (ePHI) of 2,563 individuals.  The ePHI included names, medical record numbers, ages, genders, procedures, attending physicians' names, anesthesiologists' names, types of anesthesia, times of arrival in the recovery room, and times of discharge.  Upon discovery of the breach, the CE reported the incident to internal security as a possible theft and conducted a thorough search of the perimeter.  The CE provided breach notification to HHS, the media, and affected individuals.  As a result of OCR's investigation, the CE stopped using USB drives and local desktop computers for data storage.  In addition, the CE updated physical security in the recovery room and installed data prevention software to monitor, block or encrypt mobile media used in the CE.  Further, the CE purchased encrypted USB drives for workforce members with an identified need to download and store ePHI.  The CE also revised its mobile device and portable storage media policy and retrained all workforce members on its policies.",2010-05-08,2010
68,69,University of Florida,Sembawang,2047,5/24/2010,Other,Paper,2014-01-23,,2010-05-24,2010
69,70,SunBridge Healthcare Corporation,Choa Chu Kang,3830,2010-11-05 00:00:00,Theft,Laptop,2014-01-23,,2010-05-11,2010
70,71,Department of Health Care Policy & Financing,Redhill,105470,5/17/2010,Theft,Desktop Computer,2014-01-23,,2010-05-17,2010
71,72,Prince William County Community Services (CS),Marine Parade,669,6/18/2010,Theft,Other Portable Electronic Device,2014-01-23,,2010-06-18,2010
72,73,South Shore Hospital,Paya Lebar,800000,2/26/2010,Loss,"Other Portable Electronic Device, Other, Electronic Medical Record",2014-01-23,,2010-02-26,2010
73,74,Montefiore Medical Center,Sengkang,16820,5/22/2010,Theft,Desktop Computer,2014-06-19,"Two unencrypted desktop computers containing the electronic protected health information (ePHI) of 16,820 individuals were stolen from the covered entity (CE).  The ePHI included medical record numbers, dates of birth, admission /discharge dates, billing codes, and social security numbers.  Upon discovery of the breach, the CE filed a police report and provided breach notification to HHS, the media, and affected individuals.  It also provide substitute notification by posting on its website.  As a result of OCR's investigation, the CE replaced its building alarm and installed bars on the windows.  In addition, the CE directed its staff to save patient data only on a centralized network drive, moved all ePHI stored on desktop hard drives to centralized secured network servers, and encrypted all of its computers.   The CE also revised its policy and procedure on password management and provided training to all staff on its new policy.",2010-05-22,2010
74,75,"DC Chartered Health Plan, Inc",Tampines,540,5/26/2010,Theft,Laptop,2014-01-23,,2010-05-26,2010
75,76,Montefiore Medical Center,Sengkang,23753,2010-09-06 00:00:00,Theft,Desktop Computer,2014-06-19,"OCR opened an investigation of the covered entity (CE), Montefiore Medical Center, after it reported three unencrypted desktop computers were stolen that contained the electronic protected health information (ePHI) of 23,753 individuals.  The ePHI included names, medical record numbers, dates of birth, parent or guardian contact numbers, asthma diagnoses, vaccination information, and number of visits to the school health clinic.  Upon discovery of the breach, the CE filed a police report and provided breach notification to affected individuals, HHS, and the media.  As a result of OCR's investigation, the CE updated its building alarm to include additional motion sensors and installed surveillance cameras.  Further, the CE encrypted all of its computers, advised that no ePHI is stored on desktop hard drives, removed all ePHI from its computers, and stored ePHI on the centralized secured network servers.  The CE also revised its policy and procedure on password management and provided training to all staff on its new policy.",2010-06-09,2010
76,77,Medina County OB/GYN,Jurong East,1200,6/13/2010,Improper Disposal,Paper,2014-01-23,,2010-06-13,2010
77,78,Charles Mitchell MD,Yishun,6873,6/27/2010,Theft,Desktop Computer,2014-06-30,"A burglary occurred at the covered entity's (CE) facility and two desktop computers containing protected health information (PHI) were stolen.  Approximately 6873 individuals were affected.  The PHI involved included names, addresses, dates of birth, social security numbers, diagnoses and conditions, medications, and other treatment information.  OCR closed this investigation after determining that the individual who reported the breach worked for a CE no longer in existence.",2010-06-27,2010
78,79,Humana Inc [case 4486],Kembangan,2631,6/25/2010,Other,Paper,2014-01-23,,2010-06-25,2010
79,80,"WellPoint, Inc.",Novena,31700,2009-03-11 00:00:00,Hacking/IT Incident,Network Server,2014-01-23,,2009-11-03,2009
80,81,Carolina Center for Development and Rehabilitation,Bukit Panjang,1590,6/24/2010,Theft,Paper,2014-06-30,"The covered entity's (CE) staff inadvertently sent twenty-three boxes containing the protected health information (PHI) of 1,590 patients to a recycling center.  The PHI included patients' full names, addresses, dates of birth, social security numbers, insurance identification numbers, driver's license numbers, diagnoses, medication information, checking and savings account numbers, credit and debit card numbers, and photographs of the patients.  Following the breach, the CE immediately took steps for the records to be returned.  The CE notified HHS, the media, and all individuals affected by the breach, and established a toll free number for patients to call for more information.  The CE cooperated with the state attorney general's investigation and suspended the responsible staff members.  Following OCR's investigation, the CE placed a record into its accounting of disclosure log for each individual affected and terminated the employment of the staff involved in the breach.  In addition, the CE revised its policies and procedures regarding the rights of individuals and safeguards for PHI, and re-trained staff.  ",2010-06-24,2010
81,82,Trinity Health Corporation Welfare Benefit Plan,Newton,1073,3/29/2010,Loss,Other,2014-01-23,,2010-03-29,2010
82,83,Texas Children's Hospital,Yishun,694,5/13/2010,Theft,Laptop,2014-01-23,,2010-05-13,2010
83,84,Baylor College of Medicine,Yishun,1646,5/13/2010,Theft,Laptop,2014-04-24,"An unencrypted laptop containing electronic protected health information (ePHI) of approximately 1,618 individuals was stolen from the covered entity's (CE) affiliate.  The ePHI involved in the breach included names, medical reconciliation numbers, dates of service, diagnoses, and dates of birth.  Upon discovery of the breach, the CE and its affiliate jointly notified the affected individuals, OCR, and the local media.  Notifications were delayed at the request of law enforcement.  Following OCR's investigation, the CE revised policies and procedures to require encryption of all mobile devices containing PHI and began encrypting all necessary devices in order to ensure reasonable safeguards.",2010-05-13,2010
84,85,Fort Worth Allergy and Asthma Associates,Yishun,25000,6/29/2010,Theft,Network Server,2014-01-23,,2010-06-29,2010
85,86,Jewish Hospital,Kembangan,2089,7/16/2010,Theft,Laptop,2014-01-23,,2010-07-16,2010
86,87,UNCG Speech and Hearing Center,Bukit Panjang,2300,1997-01-01 00:00:00,Hacking/IT Incident,Desktop Computer,2014-01-23,,1997-01-01,1997
87,88,"Ward A. Morris, DDS",Punggol,2698,7/16/2010,Theft,Desktop Computer,2014-01-23,,2010-07-16,2010
88,89,"Chattanooga Family Practice Associates, P.C.",Bishan,1711,7/15/2010,Loss,"Other Portable Electronic Device, Other",2014-01-23,,2010-07-15,2010
89,90,Yale University,Admiralty,1000,7/28/2010,Theft,Laptop,2014-01-23,,2010-07-28,2010
90,91,University of Kentucky,Kembangan,2027,6/18/2010,Theft,Laptop,2014-01-23,,2010-06-18,2010
91,92,Holyoke Medical Center,Paya Lebar,24750,7/26/2010,Improper Disposal,Paper,2014-01-23,,2010-07-26,2010
92,93,Newark Beth Israel Medical Center,Bedok,956,2010-10-05 00:00:00,Theft,"Other Portable Electronic Device, Other",2014-06-19,"OCR opened an investigation of the covered entity (CE), Newark Beth Israel Medical Center, after it reported an employee of the CE's business associate (BA), KPMG LLP, lost an unencrypted USB drive that contained the electronic protected health information (ePHI) of 956 individuals.  The ePHI included names and clinical information.  Upon discovery of the breach, the CE's BA conducted a search of the area.  The CE provided breach notification to HHS, the Media and affected individuals.  As a result of OCR's investigation, the BA installed and implemented encryption software to its electronic equipment and devices.  In addition, the BA encrypted and password protected all equipment and devices that could contain the CE's data.  The BA also reprimanded and retrained the employee and retrained all employees on safeguarding ePHI.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.",2010-05-10,2010
