truckid,driverid,event,Region,velocity,event_ind,idling_ind
A44,A44,lane departure,Aljunied,0,Yes,Yes
A24,A24,normal,Yio Chu Kang,68,No,No
A48,A48,normal,Kovan,64,No,No
A7,A7,normal,Yishun,34,No,No
A85,A85,normal,Little India,0,No,Yes
A52,A52,normal,Jurong East,75,No,No
A77,A77,normal,Newton,53,No,No
A9,A9,normal,Boon Lay,35,No,No
A45,A45,normal,Bouna Vista,58,No,No
A68,A68,normal,Yishun,51,No,No
A94,A94,normal,Pasir Laba,54,No,No
A76,A76,normal,Yishun,0,No,Yes
A39,A39,normal,Little India,54,No,No
A99,A99,normal,Chai Chee,69,No,No
A61,A61,normal,Geylang,25,No,No
A7,A7,normal,Marine Parade,45,No,No
A29,A29,normal,Redhill,18,No,No
A39,A39,normal,Yishun,26,No,No
A74,A74,normal,Bukit Merah,73,No,No
A45,A45,normal,Chai Chee,16,No,No
A47,A47,normal,Bukit Merah,37,No,No
A82,A82,normal,Bukit Panjang,71,No,No
A21,A21,normal,Kent Ridge,60,No,No
A59,A59,normal,Boon Keng,0,No,Yes
A38,A38,normal,Geylang,70,No,No
A23,A23,normal,Boon Lay,33,No,No
A11,A11,normal,Geylang,0,No,Yes
A20,A20,normal,Woodlands,75,No,No
A74,A74,normal,Tanglin,56,No,No
A72,A72,normal,Bukit Batok,56,No,No
A58,A58,normal,Marsiling,39,No,No
A36,A36,normal,Tampines,35,No,No
A51,A51,normal,Little India,70,No,No
A8,A8,normal,Punggol,0,No,Yes
A2,A2,normal,Redhill,16,No,No
A4,A4,normal,Punggol,0,No,Yes
A3,A3,normal,Eunos,70,No,No
A13,A13,normal,Tanglin,0,No,Yes
A77,A77,normal,Yishun,62,No,No
A60,A60,normal,Bouna Vista,0,No,Yes
A32,A32,normal,Bukit Panjang,39,No,No
A62,A62,normal,Admiralty,71,No,No
A95,A95,normal,Toa Payoh,64,No,No
A55,A55,normal,Little India,31,No,No
A31,A31,normal,Little India,56,No,No
A41,A41,normal,Tampines,20,No,No
A29,A29,normal,Novena,22,No,No
A40,A40,normal,Woodlands,57,No,No
A84,A84,normal,Jurong East,68,No,No
A10,A10,normal,Simei,17,No,No
A75,A75,normal,Redhill,54,No,No
A59,A59,normal,Boon Lay,20,No,No
A49,A49,normal,Chai Chee,0,No,Yes
A97,A97,normal,Tampines,17,No,No
A47,A47,normal,Bukit Panjang,34,No,No
A26,A26,normal,Yishun,39,No,No
A61,A61,normal,Tampines,35,No,No
A12,A12,normal,Yio Chu Kang,43,No,No
A11,A11,normal,Yishun,37,No,No
A33,A33,normal,Aljunied,19,No,No
A90,A90,normal,Yishun,52,No,No
A96,A96,normal,Hougang,0,No,Yes
A54,A54,normal,Bedok,45,No,No
A35,A35,normal,Admiralty,0,No,Yes
A37,A37,normal,Bukit Gombak,54,No,No
A91,A91,normal,Tampines,0,No,Yes
A64,A64,normal,Woodlands,75,No,No
A32,A32,normal,Little India,17,No,No
A2,A2,normal,Redhill,23,No,No
A64,A64,normal,Toa Payoh,42,No,No
A87,A87,normal,Bouna Vista,50,No,No
A6,A6,normal,Clementi,15,No,No
A91,A91,normal,Simei,0,No,Yes
A14,A14,normal,Bukit Batok,0,No,Yes
A90,A90,normal,Little India,75,No,No
A40,A40,normal,Yio Chu Kang,32,No,No
A90,A90,normal,Telok Blangah,0,No,Yes
A91,A91,normal,Yishun,27,No,No
A94,A94,normal,Bishan,60,No,No
A84,A84,normal,Bukit Batok,64,No,No
A89,A89,normal,Yishun,46,No,No
A83,A83,normal,Toa Payoh,58,No,No
A34,A34,normal,Alexandra,0,No,Yes
A95,A95,normal,Tampines,0,No,Yes
A44,A44,normal,Choa Chu Kang,0,No,Yes
A44,A44,normal,Pasir Ris,35,No,No
A10,A10,normal,Bouna Vista,70,No,No
A33,A33,normal,Toa Payoh,36,No,No
A14,A14,normal,Bouna Vista,58,No,No
A15,A15,normal,Queenstown,66,No,No
A93,A93,normal,Little India,57,No,No
A5,A5,normal,Little India,0,No,Yes
A67,A67,normal,Choa Chu Kang,21,No,No
A79,A79,normal,Kent Ridge,74,No,No
A43,A43,unsafe following distance,Yishun,54,Yes,No
A69,A69,normal,Yishun,70,No,No
A75,A75,normal,Choa Chu Kang,45,No,No
A99,A99,normal,Woodlands,46,No,No
A86,A86,normal,Telok Blangah,45,No,No
A29,A29,normal,Aljunied,54,No,No
A67,A67,normal,Telok Blangah,75,No,No
A96,A96,normal,Paya Lebar,73,No,No
A31,A31,normal,Yishun,40,No,No
A55,A55,normal,Woodlands,50,No,No
A24,A24,normal,Yishun,16,No,No
A74,A74,normal,Pasir Laba,45,No,No
A28,A28,normal,Boon Lay,37,No,No
A44,A44,unsafe following distance,Yio Chu Kang,54,Yes,No
A67,A67,normal,Bishan,37,No,No
A68,A68,normal,Bouna Vista,0,No,Yes
A39,A39,normal,Marsiling,48,No,No
A67,A67,normal,Yio Chu Kang,75,No,No
A44,A44,normal,Choa Chu Kang,0,No,Yes
A20,A20,normal,Queenstown,49,No,No
A15,A15,normal,Bedok,62,No,No
A25,A25,normal,Redhill,59,No,No
A52,A52,normal,Bishan,39,No,No
A5,A5,normal,Boon Lay,68,No,No
A41,A41,normal,Yishun,0,No,Yes
A80,A80,normal,Eunos,60,No,No
A61,A61,normal,Geylang,55,No,No
A28,A28,normal,Teban Gardens,45,No,No
A35,A35,normal,Punggol,23,No,No
A91,A91,normal,Bouna Vista,68,No,No
A84,A84,normal,Marine Parade,54,No,No
A28,A28,normal,Boon Keng,0,No,Yes
A74,A74,normal,Bukit Merah,53,No,No
A26,A26,normal,Eunos,0,No,Yes
A16,A16,normal,Yio Chu Kang,20,No,No
A36,A36,normal,Tanglin,44,No,No
A26,A26,normal,Kembangan,75,No,No
A89,A89,normal,Yishun,73,No,No
A67,A67,unsafe following distance,Woodlands,31,Yes,No
A15,A15,normal,Queenstown,61,No,No
A57,A57,normal,Ang Mo Kio,17,No,No
A58,A58,normal,Punggol,69,No,No
A13,A13,normal,Pasir Ris,27,No,No
A61,A61,normal,Tampines,0,No,Yes
A64,A64,normal,Yishun,39,No,No
A83,A83,normal,Toa Payoh,23,No,No
A55,A55,normal,Bukit Panjang,63,No,No
A34,A34,normal,Marine Parade,0,No,Yes
A43,A43,normal,Queenstown,19,No,No
A99,A99,normal,Bouna Vista,45,No,No
A45,A45,normal,Bouna Vista,54,No,No
A2,A2,normal,Novena,52,No,No
A83,A83,normal,Kent Ridge,41,No,No
A17,A17,normal,Pasir Laba,0,No,Yes
A79,A79,normal,Toa Payoh,60,No,No
A77,A77,normal,Queenstown,23,No,No
A63,A63,normal,Little India,53,No,No
A80,A80,normal,Yishun,31,No,No
A30,A30,normal,Tampines,69,No,No
A85,A85,normal,Admiralty,62,No,No
A82,A82,normal,Bukit Panjang,18,No,No
A83,A83,normal,Toa Payoh,56,No,No
A98,A98,normal,Kent Ridge,54,No,No
A98,A98,normal,Kent Ridge,43,No,No
A81,A81,normal,Hougang,38,No,No
A25,A25,lane departure,Kent Ridge,41,Yes,No
A86,A86,normal,Woodlands,0,No,Yes
A19,A19,normal,Queenstown,27,No,No
A25,A25,normal,Aljunied,0,No,Yes
A42,A42,normal,Geylang,67,No,No
A58,A58,normal,Tampines,39,No,No
A19,A19,normal,Hougang,0,No,Yes
A38,A38,normal,Marine Parade,0,No,Yes
A48,A48,normal,Jurong East,0,No,Yes
A72,A72,normal,Ang Mo Kio,0,No,Yes
A57,A57,normal,Bouna Vista,21,No,No
A65,A65,normal,Marine Parade,42,No,No
A64,A64,normal,Woodlands,58,No,No
A94,A94,normal,Tampines,0,No,Yes
A62,A62,overspeed,Yio Chu Kang,81,Yes,No
A1,A1,normal,Woodlands,34,No,No
A8,A8,normal,Newton,22,No,No
A67,A67,normal,Jurong East,57,No,No
A50,A50,normal,Punggol,68,No,No
A24,A24,normal,Teban Gardens,47,No,No
A57,A57,normal,Alexandra,68,No,No
A40,A40,normal,Bishan,53,No,No
A64,A64,normal,Bishan,40,No,No
A20,A20,normal,Yishun,43,No,No
A99,A99,normal,Ang Mo Kio,55,No,No
A13,A13,normal,Woodlands,70,No,No
A57,A57,normal,Yishun,0,No,Yes
A52,A52,normal,Toa Payoh,0,No,Yes
A51,A51,normal,Woodlands,62,No,No
A38,A38,normal,Yishun,68,No,No
A27,A27,normal,Punggol,52,No,No
A13,A13,normal,Chai Chee,60,No,No
A74,A74,normal,Boon Lay,31,No,No
A73,A73,normal,Sengkang,20,No,No
A71,A71,normal,Pasir Ris,0,No,Yes
A49,A49,normal,Yishun,28,No,No
A68,A68,normal,Yishun,55,No,No
A91,A91,normal,Novena,45,No,No
A17,A17,normal,Yishun,16,No,No
A63,A63,unsafe following distance,Choa Chu Kang,0,Yes,Yes
A94,A94,normal,Little India,31,No,No
A78,A78,normal,Pasir Laba,64,No,No
A79,A79,normal,Sembawang,43,No,No
A81,A81,normal,Potong Pasir,49,No,No
A36,A36,normal,Chai Chee,51,No,No
A26,A26,normal,Yishun,54,No,No
A83,A83,normal,Novena,53,No,No
A20,A20,normal,Clementi,0,No,Yes
A70,A70,normal,Clementi,26,No,No
A30,A30,normal,Bouna Vista,58,No,No
A89,A89,normal,Bukit Panjang,44,No,No
A64,A64,normal,Simei,36,No,No
A10,A10,unsafe following distance,Sembawang,43,Yes,No
A44,A44,normal,Yishun,22,No,No
A23,A23,normal,Yishun,61,No,No
A2,A2,normal,Clementi,0,No,Yes
A13,A13,normal,Chai Chee,48,No,No
A95,A95,normal,Yishun,16,No,No
A44,A44,normal,Kovan,54,No,No
A43,A43,normal,Bukit Merah,23,No,No
A22,A22,normal,Tampines,55,No,No
A39,A39,normal,Yishun,75,No,No
A86,A86,normal,Chai Chee,54,No,No
A3,A3,normal,Ang Mo Kio,42,No,No
A68,A68,normal,Bukit Batok,53,No,No
A22,A22,normal,Kembangan,45,No,No
A35,A35,normal,Marsiling,0,No,Yes
A72,A72,normal,Bouna Vista,20,No,No
A46,A46,normal,Boon Lay,31,No,No
A68,A68,normal,Woodlands,0,No,Yes
A41,A41,normal,Simei,48,No,No
A50,A50,unsafe following distance,Boon Lay,43,Yes,No
A5,A5,normal,Teban Gardens,0,No,Yes
A98,A98,normal,Novena,27,No,No
A9,A9,normal,Tampines,36,No,No
A97,A97,normal,Clementi,0,No,Yes
A87,A87,normal,Bukit Gombak,0,No,Yes
A60,A60,normal,Clementi,0,No,Yes
A64,A64,normal,Chai Chee,25,No,No
A30,A30,normal,Queenstown,0,No,Yes
A42,A42,normal,Tampines,45,No,No
A55,A55,normal,Boon Keng,35,No,No
A60,A60,normal,Bouna Vista,25,No,No
A11,A11,normal,Bukit Batok,0,No,Yes
A45,A45,normal,Bouna Vista,71,No,No
A31,A31,normal,Bedok,33,No,No
A21,A21,normal,Jurong East,54,No,No
A42,A42,normal,Queenstown,0,No,Yes
A20,A20,normal,Bukit Panjang,0,No,Yes
A21,A21,normal,Redhill,0,No,Yes
A36,A36,normal,Boon Keng,74,No,No
A72,A72,normal,Bukit Batok,0,No,Yes
A86,A86,normal,Little India,41,No,No
A65,A65,normal,Yishun,37,No,No
A96,A96,normal,Boon Lay,58,No,No
A48,A48,normal,Choa Chu Kang,45,No,No
A63,A63,normal,Telok Blangah,21,No,No
A9,A9,normal,Pasir Laba,45,No,No
A30,A30,normal,Yishun,0,No,Yes
A63,A63,normal,Chai Chee,0,No,Yes
A17,A17,normal,Tampines,0,No,Yes
A89,A89,normal,Queenstown,18,No,No
A28,A28,normal,Bukit Panjang,18,No,No
A64,A64,normal,Bishan,37,No,No
A88,A88,normal,Marine Parade,66,No,No
A33,A33,normal,Choa Chu Kang,37,No,No
A98,A98,normal,Yio Chu Kang,43,No,No
A33,A33,normal,Sembawang,69,No,No
A80,A80,normal,Tampines,21,No,No
