Product Link,Product Name,Selling Price,Price Before Discount,DiscountPercentage,Bundle Offer,Free Shipping,Shipping Price,Quantity Sold,Brand of Product,Overall Product Rating,Rating with Photo,Rating with comments,Amount in Wishlist,Store Name,Store Rating,No. of Products sold by store,Store Response Rate,Store Time taken to respond,Store Joined time,Store Follower Count
/Starfish-Plush-Cotton-House-Slippers-Women-Men-Home-Indoor-Shoes-Winter-i.49950548.1226324755, PreferredStarfish Plush Cotton House Slippers Women Men Home Indoor Shoes Winter,$2.98 - $3.64,No Discount,No Discount,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,26,No brand,4.7,2,5,18,starfish888.sg,843,6244,94%,within hours,21 months ago,120
/Women-Men-Home-Indoor-Anti-slip-Linen-Plaid-Open-Toe-Slippers-i.29238058.718772506,Women Men Home Indoor Anti-slip Linen Plaid Open Toe Slippers,$3.44 - $3.72,$6.88 - $7.44,50% off,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,55,No Brand,4.8,1,8,32,voguezone.sg,1057,775,85%,within hours,25 months ago,650
/Women-Men-Bathroom-Slippers-Indoor-Outdoor-Shower-Slides-Sandals-Soft-Flat-Shoes-i.66861586.2077721289,Women Men Bathroom Slippers Indoor Outdoor Shower Slides Sandals Soft Flat Shoes,$2.94 - $3.47,$5.53 - $6.14,47% off,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,5,No Brand,4.5,1,1,3,eagle668.sg,729,4068,77%,within hours,17 months ago,182
/Women-Men-Slipper-Novelty-Washable-Bedroom-Mop-Dust-Cleaner-House-Sock-Shoes-Cover-Floor-Cleaning-Funny-i.64514324.2640551796, PreferredWomen Men Slipper Novelty Washable Bedroom Mop Dust Cleaner House Sock Shoes Cover Floor Cleaning Funny,$6.09 ,$11.48 ,47% off,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,3,No Brand,5,0,0,2,bigworld.sg,1248,5881,100%,within hours,17 months ago,254
/Women-Men-Guest-Wear-Coral-Velvet-Washable-Slippers-Hotel-Home-Disposable-Indoor-i.64516548.2060777803, PreferredWomen Men Guest Wear Coral Velvet Washable Slippers Hotel Home Disposable Indoor,$2.37 - $2.48,$4.85 - $5.03,51% off,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,8,No Brand,3,0,1,11,eden.sg,803,5056,99%,within hours,17 months ago,207
/Summer-Women-Men-Slipper-Ultra-Light-Anti-skid-EVA-Sole-Casual-Indoor-Slippers-i.9176579.1803563700, PreferredSummer Women Men Slipper Ultra Light Anti-skid EVA Sole Casual Indoor Slippers,$4.02 - $7.40,No Discount,No Discount,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,0,No Brand,No Ratings Yet,0,0,3,chiclady.sg,6365,5493,93%,within hours,3 years ago,1372
/Plush-Cotton-Slippers-Men-Women-Home-Warm-Shoes-Slippery-Floor-Slippers-i.89948064.1690003875,Plush Cotton Slippers Men Women Home Warm Shoes Slippery Floor Slippers,$7.60 ,$11.05 ,31% off,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,1,No Brand,5,0,0,0,loststars.sg,32,247,100%,within hours,12 months ago,366
/starUS-Men-Women-Flax-EVA-outdoor-Slippers-Home-Non-slip-Thick-Beach-Summer-i.101815232.2612608756,starUS Men Women Flax EVA outdoor Slippers Home Non-slip Thick Beach Summer,$5.76 ,$8.00 ,28% off,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,0,No Brand,No Ratings Yet,0,0,0,popularstar.sg,174,3514,77%,within hours,10 months ago,160
/ALU~Women-Men-Indoor-Urban-Cozy-Soft-Skid-proof-Fleece-Plush-Slipper-i.36640767.651919349,ALU~Women Men Indoor Urban Cozy Soft Skid-proof Fleece Plush Slipper,$4.94 ,No Discount,No Discount,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,22,No Brand,4.4,2,3,17,afamily.sg,3421,158,12%,within hours,24 months ago,1185
/Women-Men-Home-Anti-slip-Shoes-Soft-Winter-Warm-Sandal-House-Slippers-Shoes-i.28051451.371408737,Women Men Home Anti-slip Shoes Soft Winter Warm Sandal House Slippers Shoes,$3.17 - $3.31,No Discount,No Discount,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,114,No Brand,4.7,5,23,92,walkingrunning.sg,2300,1893,100%,within hours,26 months ago,557
/lovers-beach-crocs-men-cool-slippers-female-casual-cool-slippers-i.163498733.2575561336,lovers beach crocs men cool slippers female casual cool slippers,$9.47 ,$13.68 ,31% off,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,0,No Brand,No Ratings Yet,0,0,2,yg5p.sip.sg,0,20,100%,within hours,59 days ago,0
/New-Men-Women-Winter-Soft-Plush-Warm-Indoor-Slippers-Unisex-Home-Slipper-Shoes-i.28051451.1016459925,New Men Women Winter Soft Plush Warm Indoor Slippers Unisex Home Slipper Shoes,$4.65 ,No Discount,No Discount,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,5,No brand,5,0,1,6,walkingrunning.sg,2300,1893,100%,within hours,26 months ago,557
/Warm-Breathable-Fur-Shoes-Anti-skid-Sole-Indoor-Sandals-Men-Women-Slippers-i.9176579.1662205659, PreferredWarm Breathable Fur Shoes Anti-skid Sole Indoor Sandals Men & Women Slippers,$7.46 - $11.79,No Discount,No Discount,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,1,No brand,5,1,0,1,chiclady.sg,6365,5493,93%,within hours,3 years ago,1372
/Men-Women-Cozy-Memory-Foam-Slippers-House-Shoes-Indoor-Outdoor-Anti-Skid-Shoes-i.116499414.1929887023,Men Women Cozy Memory Foam Slippers House Shoes Indoor Outdoor Anti-Skid Shoes,$8.40 ,$21.00 ,60% off,No Bundles Avaliable,No Free Shipping,$1.00 ,3,No Brand,5,0,1,1,kalaok.sg,416,4721,58%,within hours,9 months ago,152
/Women-Men-Slippers-Casual-Breathable-Comfy-Open-Toes-Home-Indoor-Women-Beach-Men-Pool-Unisex-Summer-Flat-heels-i.26097555.2775259912, PreferredWomen Men Slippers Casual Breathable Comfy Open Toes Home Indoor Women Beach Men Pool Unisex Summer Flat heels,$3.20 - $3.28,$6.40 - $6.57,50% off,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,0,OEM,No Ratings Yet,0,0,0,kimidress.sg,2792,1643,87%,within hours,27 months ago,1113
/Men-Sweater-Hooded-Top-With-a-Motif-Ultra-Soft-Original-Branded-XS~XXL-i.95524736.2391157515,Men Sweater Hooded Top With a Motif Ultra Soft Original Branded XS~XXL,$23.90 ,$40.00 ,40% off,No Bundles Avaliable,Free shipping for orders over $40,$0.00 ,0,No Brand,No Ratings Yet,0,0,9,choisfo,653,78,79%,within hours,11 months ago,1047
/5252-By-oioi-Korea-Japan-Street-Fashion-Unisex-Hoodie-Fleece-Hoodie-i.95524736.1757983252,5252 By oioi/Korea Japan Street Fashion/Unisex Hoodie/Fleece Hoodie,$29.00 ,$82.00 ,65% off,No Bundles Avaliable,Free shipping for orders over $50,$0.00 - $3.50,5,No Brand,5,0,1,30,choisfo,653,78,79%,within hours,11 months ago,1047
/Skinny-Fit-Chino-Pants-Original-Product-Best-Quality-Size-29~36-i.95524736.2796954497,Skinny Fit Chino Pants Original Product/Best Quality/Size 29~36,$19.90 ,$45.00 ,56% off,No Bundles Avaliable,Free shipping for orders over $50,$0.00 - $3.50,0,No Brand,No Ratings Yet,0,0,5,choisfo,653,78,79%,within hours,11 months ago,1047
/Men's-Polo-Shirts-Breathable-Ultra-Dry-Run-Resistant-Technical-Pique-XS~XXL-i.95524736.1714942729,Men's Polo Shirts/Breathable/Ultra-Dry/Run Resistant/Technical Pique/XS~XXL,$47.00 ,$98.00 ,52% off,No Bundles Avaliable,Free shipping for orders over $50,$0.00 - $1.50,1,Lacoste,5,0,1,4,choisfo,653,78,79%,within hours,11 months ago,1047
/Men's-Polo-Shirts-Breathable-Ultra-Dry-Run-Resistant-Technical-Pique-XS~XXL-i.95524736.1715049384,Men's Polo Shirts/Breathable/Ultra-Dry/Run Resistant/Technical Pique/XS~XXL,$47.00 ,$98.00 ,52% off,No Bundles Avaliable,Free shipping for orders over $50,$0.00 - $1.50,2,Lacoste,No Ratings Yet,0,0,22,choisfo,653,78,79%,within hours,11 months ago,1047
/Men's-Polo-Shirts-Run-Resistant-Ultra-Dry-Technical-Pique-UV-Protection-M-L-XL-i.95524736.1714984979,Men's Polo Shirts/Run Resistant/Ultra-Dry/Technical Pique/UV Protection/MLXL,$44.00 ,$92.00 ,52% off,No Bundles Avaliable,Free shipping for orders over $50,$0.00 - $1.50,1,Lacoste,5,0,0,10,choisfo,653,78,79%,within hours,11 months ago,1047
/Men's-T-Shirts-Breathable-Ultra-Dry-Run-Resistant-Technical-Pique-XS~XXL-i.95524736.1736963277,Men's T-Shirts/Breathable/Ultra-Dry/Run Resistant/Technical Pique/XS~XXL,$39.00 ,$82.00 ,52% off,No Bundles Avaliable,Free shipping for orders over $50,$0.00 - $3.50,1,Lacoste,5,0,1,6,choisfo,653,78,79%,within hours,11 months ago,1047
/N.Z.A-Polo-Rugby-Striped-Long-Sleeve-T-Shirts-High-Quality-100-Cotton-i.95524736.1845483363,N.Z.A Polo Rugby Striped Long Sleeve T-Shirts/High Quality 100% Cotton,$11.90 ,$30.00 ,60% off,No Bundles Avaliable,Free shipping for orders over $50,$0.00 - $3.50,5,No Brand,5,0,1,38,choisfo,653,78,79%,within hours,11 months ago,1047
/Branded-Men's-Casual-Sweat-Short-Pants-XS~XXL-i.95524736.1733649555,Branded Men's Casual Sweat Short Pants/XS~XXL,$15.50 ,$39.00 ,60% off,No Bundles Avaliable,Free shipping for orders over $50,$0.00 - $3.50,2,No Brand,No Ratings Yet,0,0,21,choisfo,653,78,79%,within hours,11 months ago,1047
/Men's-Chino-Pants-Original-Branded-Slim-Fit-High-Quality-100-Cotton-i.95524736.1699259979,Men's Chino Pants Original Branded/Slim Fit/High Quality/100% Cotton,$28.00 ,$64.00 ,56% off,No Bundles Avaliable,Free shipping for orders over $50,$0.00 - $3.50,7,No Brand,3,0,0,59,choisfo,653,78,79%,within hours,11 months ago,1047
/Women-Men-Shoes-Cover-House-Sock-Floor-Cleaning-Mop-Funny-Slipper-Dust-Cleaner-Novelty-Bedroom-Washable-i.91087572.2494375109, PreferredWomen Men Shoes Cover House Sock Floor Cleaning Mop Funny Slipper Dust Cleaner Novelty Bedroom Washable,$5.87 ,$12.91 ,55% off,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,1,No Brand,5,0,1,1,datings.sg,658,7555,81%,within hours,12 months ago,41
/HSWWomen-Men-POP-Soft-Warm-Home-Anti-slip-Shoes-Cotton-Sandal-House-Indoor-Slippers-i.76667824.1315844787,HSWWomen Men POP Soft Warm Home Anti-slip Shoes Cotton Sandal House Indoor Slippers,$2.00 ,$5.00 - $5.50,64% off,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,11,No brand,3.7,0,1,20,housewaresstore.sg,780,3350,56%,within hours,15 months ago,455
/Brand-Couple-Beach-Slippers-Sandals-Men-Women-Slippers-Antiskid-Bedroom-Shoes-i.11271939.2119024526,Brand Couple Beach Slippers Sandals Men Women Slippers Antiskid Bedroom Shoes,$11.00 ,No Discount,No Discount,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,7,No Brand,5,0,0,15,liweike.sg,2549,446,98%,within hours,35 months ago,2350
/FILA-DRIFTER-Fashion-slippers-Men-and-women-slippers-i.38167363.1145635904,FILA DRIFTER Fashion slippers Men and women slippers,$40.60 ,$58.00 ,30% off,No Bundles Avaliable,Free shipping for orders over $20,$0.00 ,47,Fila,4.9,4,12,357,koko2.sg,136,399,88%,within hours,23 months ago,739
/Unisex-Men-Women-Cartoon-Bear-Claws-Shape-Plush-Soft-Slippers-Home-Warm-Shoes-i.64917141.2715425898, PreferredUnisex Men Women Cartoon Bear Claws Shape Plush Soft Slippers Home Warm Shoes,$7.55 - $8.80,$16.11 - $18.59,53% off,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,0,No Brand,No Ratings Yet,0,0,0,olivia888.sg,528,6050,88%,within hours,17 months ago,148
/puma-2019-summer-classic-gold-velvet-men-and-women-slippers-street-fashion-trend-i.173187597.2737844402,puma 2019 summer classic gold velvet men and women slippers street fashion trend,$64.01 ,No Discount,No Discount,No Bundles Avaliable,Free shipping for orders over $20,$0.00 ,0,No Brand,No Ratings Yet,0,0,0,fashionbuy1995.sg,0,0,57%,within hours,20 days ago,0
/Women-Casual-Sandal-Slippers-Men-Beach-Outdoor-Slippers-Couple-Bedroom-Sandals-i.11271939.2084051295,Women Casual Sandal Slippers Men Beach Outdoor Slippers Couple Bedroom Sandals,$10.00 ,$13.00 ,23% off,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,20,No Brand,4.9,2,2,63,liweike.sg,2549,446,98%,within hours,35 months ago,2350
/havaianas-non-slip-flat-slippers-men-and-women-havanas-i.163302680.2571508041,havaianas non-slip flat slippers men and women havanas,$19.03 ,No Discount,No Discount,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,0,No Brand,No Ratings Yet,0,0,2,yi8a.sip.sg,0,9,57%,within hours,60 days ago,0
/We-Bare-Bears-Panda-Grizzly-Winter-Full-Pack-Bedroom-Slippers-Women-Man-Shoes-i.46703854.1250579779,We Bare Bears Panda Grizzly Winter Full Pack Bedroom Slippers Women Man Shoes,$15.00 ,No Discount,No Discount,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,16,No Brand,4.7,1,1,37,linocase.sg,479,580,86%,within hours,21 months ago,219
/new-home-couple-pvc-slippers-men-summer-female-fashion-tide-home-plastic-i.173273701.2741672127,new home couple pvc slippers men summer female fashion tide home plastic,$21.98 ,No Discount,No Discount,No Bundles Avaliable,Free shipping for orders over $20,$0.00 ,0,No Brand,No Ratings Yet,0,0,0,999.sg,0,0,57%,within hours,20 days ago,0
/Men-Women-Winter-Warm-Slippers-Indoor-Floor-Shoes-Non-slip-House-Shoes-i.45836171.1604921315,Men Women  Winter Warm Slippers Indoor Floor Shoes Non-slip House Shoes,$2.90 ,$5.00 ,42% off,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,1,No brand,No Ratings Yet,0,0,2,superhappybuy.sg,8955,4045,93%,within hours,21 months ago,2106
/2017-new-couple-slippers-summer-korean-men-and-women-sandals-outdoor-word-drag-i.162845448.2564859482,2017 new couple slippers summer korean men and women sandals outdoor word drag,$14.16 ,$17.87 ,21% off,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,0,No Brand,No Ratings Yet,0,0,0,kp07.sip.sg,6,65,71%,within hours,2 months ago,0
/slippers-female-2017-new-home-indoor-bathroom-kids-men-cool-slippers-couple-i.173316999.2746167965,slippers female 2017 new home indoor bathroom kids men cool slippers couple,$13.70 ,No Discount,No Discount,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,0,No Brand,No Ratings Yet,0,0,0,qingfeng888.sg,0,0,57%,within hours,19 days ago,0
/Indoor-cotton-slippers-men-and-women-couple-soft-bottom-slippers-Home-autumn-and-winter-thick-bottom-non-slip-home-care-i.133340560.2799328305,Indoor cotton slippers men and women couple soft bottom slippers Home autumn and winter thick bottom non-slip home care,$13.05 ,No Discount,No Discount,No Bundles Avaliable,No Free Shipping,$1.00 ,0,No Brand,No Ratings Yet,0,0,0,tebaf05.sg,32,2309,94%,within hours,6 months ago,7
/Women-Men-Home-Bath-Slippers-Couple-House-Shoes-Summer-Beach-Shower-Sandals-i.46638051.1098954663, PreferredWomen Men Home Bath Slippers Couple House Shoes Summer Beach Shower Sandals,$2.73 - $3.21,No Discount,No Discount,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,36,No Brand,4.6,3,4,16,livelihood.sg,638,3279,100%,within hours,21 months ago,182
/Women-Men-Winter-Warm-Slippers-Indoor-Floor-Shoes-Non-slip-i.102508971.1910114380,Women Men Winter Warm Slippers Indoor Floor Shoes Non-slip,$2.95 ,$5.78 ,49% off,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,1,No Brand,No Ratings Yet,0,0,0,celeyidea.sg,78,1010,92%,within hours,10 months ago,8
